Título original,Título en español,Género,PáginasNota 1,Año,Notas
Carrie,Carrie,Terror,199,1974,"En 1976, el director de cine Brian de Palma hizo la primera película basada en la novela.7 3"
'Salem's Lot,El misterio de 'Salem's Lot,Terror,439,19758,Nominado para el World Fantasy Award de 1976.9
The Shining,El resplandor,Terror,447,197710,"La novela fue llevada al cine en 1980 por el director de cine Stanley Kubrick.11 Posteriormente se creó una miniserie en 1997,12 escrita por Stephen King.12"
Rage,Rabia,Terror,211,197713 14,Escrita bajo el seudónimo Richard Bachman.14
Night Shift,El umbral de la noche,Terror,336,197815 16,Este libro es una colección de relatos cortos de King.16
The Stand,La danza de la muerte,"Terror, ciencia ficción, aventura, postapocalíptico",823,197817,"La versión original del libro (1978) fue nominada para el World Fantasy Award de 1979.18 En 1994, se estrenó una miniserie llamada The Stand19 (conocida en Latinoamérica y España como Apocalipsis)19 con guion de Stephen King20 y dirección de Mick Garris.20"
The Long Walk,La larga marcha,Terror,384,197921 22,Escrita bajo el seudónimo Richard Bachman.22
The Dead Zone,La zona muerta,Terror,428,197923,"Nominada para el Locus Award de 1980.24 En 1983 se estrenó la película basada en el libro de King,25 dirigida por David Cronenberg.25 Años más tarde en 2002 se estrenó una miniserie también basada en la novela de King.26"
Firestarter,Ojos de fuego,Terror,426,198027,"Nominada para el British Fantasy Award en 1981.28 En 1984 se estrenó la película basada en el libro,29 dirigida por Mark L. Lester29 y escrita por King y Stanley Mann.29 Tiempo después en 2002 se estrenó una secuela de la primera película,30 sin embargo esta película fue para televisión.30 Esta vez dirigida por Robert Iscove,30 y escrita por King y Philip Eisner.30"
Roadwork,Carretera maldita,Terror,274,198131 32,Escrita bajo el seudónimo Richard Bachman.31
Danse Macabre,Danza macabra,"Terror, no ficción",400,198133,Libro ganador del Hugo Award de 1982.34
Cujo,Cujo,Terror,319,198135,"Novela ganadora del British Fantasy Award de 1982.36 Existe una película basada en el libro, estrenada en 1983 y dirigida por Lewis Teague.37"
The Running Man,El fugitivo,Ciencia ficción,219,198238,Escrita bajo el seudónimo Richard Bachman.38 En 1987 se estrenó la película The Running Man basada en el libro de King.39
The Dark Tower: The Gunslinger,La Torre Oscura I: La hierba del diablo,"Terror, fantasía, ciencia ficción",224,198240,Edición original: 1982.40
Creepshow,Creepshow,Terror,64,198241,Realmente es una película.41 King fue el guionista.41
Different Seasons,Las cuatro estaciones,Drama,527,198242,Colección de cuatro novelas.42
Christine,Christine,Terror,526,198343,La película basada en la novela se estrenó en 198344 y fue dirigida por John Carpenter.44
Pet Sematary,Cementerio de animales,Terror,416,198345,"Nominada para el World Fantasy Award de 1984.46 En 1989 se estrenó Pet Sematary,47 película basada en la novela de King47 y dirigida por Mary Lambert.47"
Cycle of the Werewolf,El ciclo del hombre lobo,Terror,127,198348,En 1985 se estrenó Silver Bullet basada en la novela de King.49
The Talisman,El talismán,Terror,646,198450,Escrita junto con Peter Straub.51 Nominada para el World Fantasy Award y el Locus Award en 1985.52
Thinner,Maleficio,Terror,309,198453,Escrita bajo el seudónimo Richard Bachman.54 En 1996 se estrenó la película Thinner basada en el libro.55
Skeleton Crew,"La niebla
La expedición
Historias fantásticas
Dos historias para no dormir",Terror,512,198556 57,Este libro es una colección de relatos cortos de King.56 57
The Bachman Books,The Bachman Books,Terror,692,198558,"Colección de cuatro novelas de Bachman: Rage, The Long Walk, Roadwork y The Running Man.58 Además del ensayo: ""Why I Was Bachman"" (""Porque yo era Bachman"").58"
It,Eso,Terror,1504,198659,"Novela ganadora del British Fantasy Award en 1987.60 Nominada para el Locus Award y para el World Fantasy Award de 1987.60 En 1990 se estrenó la película para televisión It, basada en la novela.61"
The Eyes of the Dragon,Los ojos del dragón,"Terror, fantasía, ciencia ficción",326,198762,
The Dark Tower II: The Drawing of the Three,La Torre Oscura II: La invocación,"Terror, fantasía, ciencia ficción",400,198763,Edición original: 1987.63
