Four Past Midnight,Las cuatro después de medianoche,31,763,199074,Colección de cuatro novelas.75 Ganadora del Bram Stoker Award de 1990 en la categoría de Fiction Collection.76
The Dark Tower III: The Waste Lands,La Torre Oscura III: Las Tierras Baldías,32,512,199177,Edición original: 1991.77 Edición limitada.78 Novela relanzada en 2003.79 Nominada para el Bram Stoker Award de 1991.80
Needful Things,La tienda de los deseos malignos,33,690,199181,Novela llevada al cine en 1993 por Fraser C. Heston.82 La novela se desarrolla en la ficticia ciudad de Castle Rock.81 Nota 2 Nominada para el Bram Stoker Award de 1991.80
Gerald's Game,El juego de Gerald,34,352,199283,
Dolores Claiborne,Dolores Claiborne,35,305,199384,"En 1995 se estrenó la película Dolores Claiborne basada en la novela de King.85 La Isla Little Tall es el lugar donde se desarrolla la novela, mismo lugar de otra novela, La tormenta del siglo.86"
Nightmares & Dreamscapes,Pesadillas y alucinaciones,36,816,199387,Este libro es una colección de relatos cortos de King.88 Nominada para el Bram Stoker Award de 1991 en la categoría de Fiction Collection.89
Insomnia,Insomnia,37,832,199490,Nominado para el Bram Stoker Award de 1994.91
Rose Madder,El retrato de Rose Madder,38,432,199592,"En 2009 se lanzó una versión en audiolibro de Rose Madder, publicado por Penguin Audiobooks.93"
The Green Mile,El pasillo de la muerte,39,400,199694,Ganadora del Bram Stoker Award en la categoría de Best Novel en 1996.95 En 1999 se estrenó The Green Mile película basada en el libro de King.96 Originalmente publicada en seis libros pequeños.97 En el año 2000 se estrenó la edición completa. 98
Desperation,Desesperación,40,704,199699,
The Regulators,Posesión,41,480,1996100,Escrita bajo el seudónimo Richard Bachman.101 La novela tiene ciertas similitudes con otro libro de King Desperation.102
Six Stories,Seis historias,42,199,1997103,Colección de seis relatos de King.104 Edición limitada.103
The Dark Tower IV: Wizard and Glass,La Torre Oscura IV: La bola de cristal,43,787,1997105,Edición original: 1997.105 Nominada para el Locus Award de 1998.106
Bag of Bones,Un saco de huesos,44,529,1998107,Ganadora del British Fantasy Award en 1999108 y del Bram Stoker Award en 1998109 En 2008 se estrenó la edición del décimo aniversario.110
Storm of the Century,La tormenta del siglo,45,400,1999111,"Película para televisión,111 escrita por King.111"
The Girl Who Loved Tom Gordon,La chica que amaba a Tom Gordon,46,224,1999112,
The New Lieutenant's Rap,El rap del nuevo teniente,47,,1999113,"Relato corto, en formato chapbook."
Hearts in Atlantis,Corazones en la Atlántida,48,528,1999114,Colección de relatos cortos de King.115
Blood And Smoke,Sangre y humo,49,,2000(E.U.)116 1999117 118 119,"Colección de tres historias cortas,117 118 en forma de audiolibro,119 leído por Stephen King.116 119"
The Plant,La planta,50,,2000120,"En formato de libro electrónico,120 edición limitada.120 Distribuido en seis entregas.120 La novela aún no ha sido completada.120"
On Writing: A Memoir of the Craft,Mientras escribo,51,288,2000121,Es una autobiografía de King.121 Logró el número 21º de los The 100 best reads from 1983 to 2008.122 Ganadora del Bram Stoker Award en el 2000.123
Secret Windows,Ventanas secretas,52,433,2000124,"Una antología de cuentos cortos,125 ensayos,126 piezas difíciles de encontrar, entrevistas poco conocidas y artículos acerca de la escritura.124"
Dreamcatcher,El cazador de sueños,53,620,2001127,En 2003 se estrenó Dreamcatcher película basada en el libro de King.128
Black House,Casa Negra,54,625,2001129,Secuela de la novela de King y Straub The Talisman.129 Escrita junto con Peter Straub.130 Nominada para el Bram Stoker Award de 2001.131
Everything's Eventual,Todo es eventual,55,464,2002132,Colección de selectos relatos cortos de King.133 Nominada para el Bram Stoker Award de 2002.134
From a Buick 8,Buick 8: un coche perverso,56,368,2002135,Nominada para el Bram Stoker Award de 2002.134
The Dark Tower: The Gunslinger: Revised and Expanded Edition,La Torre Oscura I: El pistolero,57,256,2003136,Edición revisada y expandida.136
The Dark Tower V: Wolves of the Calla,La Torre Oscura V: Lobos del Calla,58,714,2003137,Nominada para el Locus Award de 2004138 y para el Bram Stoker Award de 2003.139
The Dark Tower VI: Song of Susannah,La Torre Oscura VI: Canción de Susannah,59,432,2004140,Nominada para el Locus Award de 2005.141
The Dark Tower VII: The Dark Tower,La Torre Oscura VII: La Torre Oscura,60,845,2004142,Ganadora del British Fantasy Award en 2005.143 Nominada para el Bram Stoker Award en 2004.144
Faithful,Fieles,61,432,2004145,"Escrito junto con Stewart O'Nan,145 146 cubre la temporada de 2004 de los Boston Red Sox.145"
The Colorado Kid,Colorado Kid,62,184,2005147,Novela Hard boiled.148
Salem's Lot: Illustrated Edition,El misterio de Salem's Lot: Edición ilustrada,63,600,2005149,"Edición especial ilustrada,149 con fotografías de Jerry Uelsmann.149"
Cell,Cell,64,355,2006150,
Lisey's Story,La historia de Lisey,65,528,2006151,"Ganadora del Bram Stoker Award de 2006,152 nominada para el World Fantasy Award de 2007.153"
Stationary Bike,Bicicleta estacionaria,66,,2006154,"Audiolibro,154 lectura de Ron McLarty.154"
The Secretary of Dreams: Volume 1,La secretaria de los sueños: Volumen 1,67,290,2006155,Ilustrado por Glenn Chadbourne.156 Combina cuentos cortos de Stephen King con la obra del artista Glenn Chadbourne.156
Blaze,Blaze,68,304,2007157,Escrita bajo el seudónimo Richard Bachman.158 159
The Mist,La niebla,69,230,2007160,Publicada inicialmente en Skeleton Crew.161
Duma Key,Duma Key,70,611,2008162,Ganadora del Bram Stoker Award de 2008.163
Just After Sunset,Después del anochecer,71,367,2009164,Colección de trece historias cortas de King.165 Ganadora del Bram Stoker Award de 2008.163
Stephen King Goes to the Movies,Stephen King va al cine,72,592,2009166,Colección de cinco de las historias cortas más populares de King.167
Ur,Ur,73,,2009168,"Libro electrónico exclusivo de Amazon Kindle.169 En febrero de 2010 se publicó la edición en audiolibro,170 leído por Holter Graham.170"
Under the Dome,La cúpula,74,1074,2009171,Nominada para el British Fantasy Society Award de 2010.172
The Secretary of Dreams: Volume 2,La secretaria de los sueños: Volumen 2,75,260,2010173,Ilustrado por Glenn Chadbourne.173
Blockade Billy,Blockade Billy,76,112,2010174,
"Full Dark, No Stars","Todo oscuro, sin estrellas",77,368,2010175,"Colección de cuatro novelas,175 176 relacionadas con el tema de la retribución.175"
Mile 81,Milla 81,78,80,2011177,En formato de libro electrónico.
11/22/63,22/11/63,79,849,2011178,Novela referente al tema de un viaje a través del tiempo para prevenir el Asesinato de John F. Kennedy.179
American Vampire,Vampiro americano,80,200,2011180,Escrita junto con Scott Snyder e ilustrada por Rafael Albuquerque.
It: The 25th Anniversary Special Edition,Eso: Edición especial 25 aniversario,81,,2011181,
Throttle,Acelerador,82,47,2012,Escrito junto con Joe Hill. En formato de libro electrónico.
The Dark Tower: The Wind Through the Keyhole,La Torre Oscura: El viento por la cerradura,83,320,2012182,"Octava entrega en la serie de La Torre Oscura, aunque cronológicamente se ubica entre los libros cuatro (Mago y cristal) y cinco (Lobos del Calla)."
A Face in the Crowd,Un rostro en la multitud,84,50,2012183,Escrita junto con Stewart O'Nan. En formato de libro electrónico.
In the Tall Grass,En la hierba alta,85,64,2012,Escrito junto con Joe Hill. En formato de libro electrónico.
Guns,,86,25,2013,En formato de libro electrónico.
Ghost Brothers of Darkland County,,87,110,2013,Obra teatral (musical).
Joyland,Joyland,88,304,2013184,
The Dark Man: An Illustrated Poem,Por definir.,89,88,2013,Poema.
Doctor Sleep,Doctor Sueño,90,544,2013185,Continuación de El resplandor.185
Mr. Mercedes,Mr. Mercedes,91,,2014186,
Revival,Revival,92,496,2014,Novela próxima.
